"perm","estimate","p.value"
0.0754608226643363,0.0754608226643363,0.01
-0.0193132353589478,0.0754608226643363,0.01
0.0403257301035265,0.0754608226643363,0.01
-0.00107172830336263,0.0754608226643363,0.01
0.0387241356981865,0.0754608226643363,0.01
0.0129522726867009,0.0754608226643363,0.01
0.0222234265393623,0.0754608226643363,0.01
-0.0146886919927538,0.0754608226643363,0.01
-0.0346645017262642,0.0754608226643363,0.01
0.0418232914927343,0.0754608226643363,0.01
-0.0215685542871977,0.0754608226643363,0.01
-0.0226200807381488,0.0754608226643363,0.01
-0.0313293660538651,0.0754608226643363,0.01
0.00813420025085173,0.0754608226643363,0.01
0.0103805222756626,0.0754608226643363,0.01
0.00388887822014868,0.0754608226643363,0.01
-0.00530831879039493,0.0754608226643363,0.01
0.0055810088884082,0.0754608226643363,0.01
0.0161636957258313,0.0754608226643363,0.01
-0.0153017534953354,0.0754608226643363,0.01
-0.0539306710854897,0.0754608226643363,0.01
-0.0295371678612658,0.0754608226643363,0.01
0.000692400445771789,0.0754608226643363,0.01
-0.0162927364113791,0.0754608226643363,0.01
0.017981172170782,0.0754608226643363,0.01
-0.051015489724515,0.0754608226643363,0.01
0.00217158232524135,0.0754608226643363,0.01
0.0129312817045317,0.0754608226643363,0.01
-0.0088707301859789,0.0754608226643363,0.01
-0.0340917501442405,0.0754608226643363,0.01
0.0112706132382006,0.0754608226643363,0.01
-0.0337799234306688,0.0754608226643363,0.01
-0.0304951349942006,0.0754608226643363,0.01
0.012597127897628,0.0754608226643363,0.01
-0.00477522680601376,0.0754608226643363,0.01
-0.0456442946279912,0.0754608226643363,0.01
-0.0634769498564455,0.0754608226643363,0.01
0.0224725038984326,0.0754608226643363,0.01
0.0118896471196911,0.0754608226643363,0.01
0.0360123501296194,0.0754608226643363,0.01
0.0306529852509823,0.0754608226643363,0.01
-0.0628166486612971,0.0754608226643363,0.01
0.034203677412868,0.0754608226643363,0.01
0.00733907032549413,0.0754608226643363,0.01
0.0744507116714319,0.0754608226643363,0.01
-0.0581968007702667,0.0754608226643363,0.01
-0.0141662501422647,0.0754608226643363,0.01
-0.010863173496387,0.0754608226643363,0.01
-0.0110713009842057,0.0754608226643363,0.01
-0.0111764434593324,0.0754608226643363,0.01
0.0335756988680327,0.0754608226643363,0.01
-0.00732941089607257,0.0754608226643363,0.01
-0.062423305882605,0.0754608226643363,0.01
-0.0265865529756772,0.0754608226643363,0.01
-0.0284162894435829,0.0754608226643363,0.01
0.0126131823440672,0.0754608226643363,0.01
-0.0176297173435602,0.0754608226643363,0.01
-0.0601544028029522,0.0754608226643363,0.01
0.0147360549727119,0.0754608226643363,0.01
0.0490465451618319,0.0754608226643363,0.01
-0.0150892546179497,0.0754608226643363,0.01
0.0153236607451416,0.0754608226643363,0.01
-0.00466296341970027,0.0754608226643363,0.01
-0.0614948735021451,0.0754608226643363,0.01
0.0143936188380605,0.0754608226643363,0.01
-0.0644412896807417,0.0754608226643363,0.01
-0.0537955002618544,0.0754608226643363,0.01
0.00501036336651374,0.0754608226643363,0.01
0.0645222497521182,0.0754608226643363,0.01
-0.00269162391054498,0.0754608226643363,0.01
0.0172719423663653,0.0754608226643363,0.01
-0.0127363794886449,0.0754608226643363,0.01
-0.00100946504749002,0.0754608226643363,0.01
0.012007113422941,0.0754608226643363,0.01
-0.031991217131403,0.0754608226643363,0.01
-0.0251105444207898,0.0754608226643363,0.01
0.0634824019149201,0.0754608226643363,0.01
0.00234092791379298,0.0754608226643363,0.01
-0.0510097866867516,0.0754608226643363,0.01
-0.0218201317167955,0.0754608226643363,0.01
0.0559477137784087,0.0754608226643363,0.01
-0.00823129291691435,0.0754608226643363,0.01
0.0110987114288782,0.0754608226643363,0.01
-0.0305016724315314,0.0754608226643363,0.01
-0.0525459881233991,0.0754608226643363,0.01
-0.00810897427721282,0.0754608226643363,0.01
0.0432971327523397,0.0754608226643363,0.01
-0.00899366215274705,0.0754608226643363,0.01
0.00808682130020425,0.0754608226643363,0.01
0.0250271017405014,0.0754608226643363,0.01
-0.00376360261263919,0.0754608226643363,0.01
-0.0211108715376592,0.0754608226643363,0.01
0.0274613092563999,0.0754608226643363,0.01
0.0185232948360433,0.0754608226643363,0.01
-0.0385104382760507,0.0754608226643363,0.01
0.00231452829308472,0.0754608226643363,0.01
-0.00819829985960839,0.0754608226643363,0.01
0.0288005402247371,0.0754608226643363,0.01
0.0204489802231677,0.0754608226643363,0.01
-0.0192127938048479,0.0754608226643363,0.01
